0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1020,,,,,,,,,,,60 min 100W,absolute error ,0 min 100 W,error,75min 50W,error,0 min 50 W,error,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,percentage,thickness,,0,0,0,0,0,0,0,0,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,,,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,1.62E+17,4.2E+16,1.62E+17,4.2E+16,1.515E+17,2.25E+16,1.515E+17,2.25E+16,,0
290K,4.536E+18,0.0002,3.09071E-05,230K,4.536E+18,0.0038,0.000587962,,,0.00568,0.000987654,0.00349,0.00129576,,,0.000957126,0.000354885,290K,4.242E+18,-0.001,-0.000145033,0.0006,9.3985E-05,-0.0014,-0.000206978,-0.0005,-7.50863E-05,-8.3278E-05,0.000129878,230K,4.242E+18,0.007,0.001082753,0.0073,0.001194763,0.001138758,5.60047E-05,290K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50355E-06,2.86029E-05,0.000300206,4.80469E-05,6.30354E-05,0.000109973,7.05547E-06,4.57213E-06,1.0069E-05,2.58289E-06,6.06986E-06,5.26732E-05,5.81222E-05,5.53977E-05,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
300K,4.698E+18,0.0011,0.000169989,240K,4.698E+18,,,,,,,,,,,,,300K,4.3935E+18,-0.0021,-0.000304569,0.0007,0.000109649,-0.0009,-0.000133057,0.0008,0.000120138,-5.19597E-05,0.000205039,240K,4.3935E+18,0.0055,0.000850735,0.0059,0.00096563,0.000908182,5.74477E-05,300K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26954E-06,,,,,,1.48165E-05,5.33415E-06,6.4729E-06,4.13263E-06,7.68904E-06,4.13861E-05,4.69754E-05,4.41808E-05,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
310K,4.86E+18,0.0013,0.000200896,250K,4.86E+18,0.0021,0.000324927,0.00075,0.000139302,0.00332,0.000577291,0.00066,0.000245043,,,0.000321641,0.000186621,310K,4.545E+18,0.0006,8.70196E-05,0.0005,7.83208E-05,-0.0026,-0.000384388,-0.0015,-0.000225259,-0.000111077,0.000232988,250K,4.545E+18,0.0034,0.000525909,0.00577,0.000944354,0.000735131,0.000209222,310K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77309E-06,1.58068E-05,6.77667E-06,2.80837E-05,1.19207E-05,1.5647E-05,4.23328E-06,3.81011E-06,1.86995E-05,7.74867E-06,8.62289E-06,2.55841E-05,4.59404E-05,3.57623E-05,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,260K,5.022E+18,,,,,,,,,,,,,,,,,,,,,,,,,260K,4.6965E+18,0.0026,0.000402166,0.00008,1.30933E-05,0.000207629,0.000194536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95643E-05,6.36955E-07,1.01006E-05,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270K,5.184E+18,-0.0021,-0.000324927,0.00043,7.98663E-05,0.00084,0.000146062,,,,,-3.29996E-05,0.000254973,,,,,,,,,,,,,270K,4.848E+18,0.0017,0.000262954,0.00063,0.00010311,0.000183032,7.99224E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58068E-05,3.88529E-06,7.10552E-06,,8.93255E-06,,,,,,1.27921E-05,5.01602E-06,8.90404E-06,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,280K,5.346E+18,,,,,,,,,,,,,,,,,,,,,,,,,280K,4.9995E+18,0.0015,0.000232019,0.00052,8.51064E-05,0.000158562,7.34561E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12871E-05,4.14021E-06,7.71366E-06,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,290K,5.508E+18,0.000001,1.54727E-07,-0.00089,-0.000165305,-0.00169,-0.000293862,,,,,-0.000153004,0.000147394,,,,,,,,,,,,,290K,5.151E+18,-0.0004,-6.18716E-05,0.00168,0.000274959,0.000106544,0.000168415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52707E-09,8.04165E-06,1.42956E-05,,7.44827E-06,,,,,,3.0099E-06,1.33761E-05,8.19298E-06,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,300K,5.67E+18,,,,,,,,,,,,,,,,,,,,,,,,,300K,5.3025E+18,0.0003,4.64037E-05,0.0018,0.000294599,0.000170501,0.000124098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25742E-06,1.43315E-05,8.29446E-06,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,310K,5.832E+18,-0.0004,-6.18908E-05,-0.00023,-4.27192E-05,0.00057,9.91132E-05,,,,,-1.83224E-06,8.79453E-05,,,,,,,,,,,,,310K,5.454E+18,0.0019,0.00029389,0.00166,0.000271686,0.000282788,1.11022E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01083E-06,2.07818E-06,4.8216E-06,,3.30354E-06,,,,,,1.4297E-05,1.32168E-05,1.37569E-05,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production/Sublimation 910/920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-16% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910/920 cm-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,,,,,,,,,,,,,,,,,,,,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,,,,,,,,,,,,,,,,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,fluence,normalized absorbance,temp,fluence,norm. int. absorbance,error,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.54E+17,0.00387855,0.000188682,,,,,,,,,,,,,,,,,
20K,1.62E+17,0.018,0.002781641,10,1.62E+17,0.0135,0.002088813,0.01429,0.00265416,0.01264,0.002197879,0.00716,0.00265835,,,0.002503463,0.000299462,20K,1.515E+17,0.01435,0.002081218,0.011,0.001723058,0.01505,0.002225015,0.01531,0.002299144,0.002082109,0.000255894,12.5,1.515E+17,0.01289,0.001993813,0.01028,0.001682488,0.00183815,0.000155663,20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013532,0.000101615,0.000129118,0.000106921,0.000129322,0.000116744,0.000101246,8.38224E-05,0.000108241,7.90881E-05,9.30994E-05,9.69939E-05,8.18487E-05,8.94213E-05,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,1.62E+17,0.002503463,50,6.17E+17,0.00626259,0.000304659,,,,,,,,,,,,,,,,,
30K,3.24E+17,0.0228,0.003523412,20,3.24E+17,0.0138,0.002135231,0.0162,0.003008915,0.01522,0.002646496,0.00903,0.00335264,,,0.003002684,0.000520811,30K,3.03E+17,0.0243,0.003524293,0.01884,0.002951128,0.02378,0.003515671,0.02155,0.003236222,0.003306828,0.000272283,25,3.03E+17,0.01967,0.003042537,0.01547,0.002531915,0.002787226,0.000255311,30K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000171405,0.000103874,0.000146376,0.000128745,0.000163097,0.000135523,0.000171448,0.000143565,0.000171028,0.000111323,0.000149341,0.000148012,0.000123171,0.000135591,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,3.24E+17,0.003002684,100,1.39E+18,0.008080284,0.000393085,,,,,,,,,,,,,,,,,
40K,4.86E+17,0.0285,0.004404265,30,4.86E+17,0.0155,0.002398267,0.01871,0.003475111,0.0166,0.002886455,0.01167,0.004332814,,,0.003564793,0.000832392,40K,4.545E+17,0.0294,0.004263959,0.02257,0.003535401,0.0268,0.003962153,0.02643,0.003969064,0.003932644,0.000299872,37.5,4.545E+17,0.01957,0.003027069,0.01646,0.002693944,0.002860507,0.000166562,40K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000214256,0.00011667,0.000169055,0.000140419,0.00021078,0.000159231,0.000207431,0.000171988,0.000192749,0.000136532,0.000177175,0.000147259,0.000131054,0.000139156,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,4.86E+17,0.003564793,130,1.85E+18,0.004683488,0.00022784,,,,,,,,,,,,,,,,,
50K,6.48E+17,0.0312,0.004821511,40,6.48E+17,0.0142,0.002197122,0.0186,0.003454681,0.01642,0.002855156,0.01169,0.004340239,,,0.003550025,0.000910885,50K,6.06E+17,0.03142,0.004556925,0.02474,0.003875313,0.03143,0.004646659,0.02867,0.004305451,0.004346087,0.000345483,50,6.06E+17,0.02188,0.003384377,0.02185,0.003576105,0.003480241,9.58637E-05,50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234554,0.000106884,0.000168061,0.000138896,0.000211142,0.000156246,0.000221683,0.000188524,0.000226048,0.000148103,0.000196089,0.000164641,0.000173968,0.000169305,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,6.48E+17,0.003550025,150,2.16E+18,0.004235294,0.000206036,,,,,,,,,,,,,,,,,
60K,8.1E+17,0.0327,0.005053315,50,8.1E+17,,,0.01861,0.003456538,0.01792,0.00311598,0.01242,0.004611272,,,0.00372793,0.000783719,60K,7.575E+17,0.0341,0.004945613,0.02785,0.004362469,0.03266,0.004828504,0.03107,0.004665866,0.004700613,0.000252936,62.5,7.575E+17,0.02271,0.003512761,0.01993,0.003261866,0.003387313,0.000125448,60K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000245831,,0.000168152,0.000151584,0.000224327,0.000181354,0.000240591,0.000212223,0.000234894,0.000160501,0.000212052,0.000170887,0.000158681,0.000164784,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,8.1E+17,0.00372793,,,,,,,,,,,,,,,,,,,,,
70K,9.72E+17,0.0329,0.005084222,60,9.72E+17,0.0157,0.002429212,0.0189,0.003510401,0.01922,0.003342027,0.01279,0.004748645,,,0.003867024,0.000954033,70K,9.09E+17,0.03507,0.005086294,0.03037,0.004757206,0.03214,0.004751626,0.03199,0.004804025,0.004849788,0.000159412,75,9.09E+17,0.02404,0.003718484,0.02039,0.003337152,0.003527818,0.000190666,70K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000247334,0.000118175,0.000170772,0.000162581,0.000231009,0.000170634,0.000247435,0.000231426,0.000231154,0.000165253,0.000218817,0.000180895,0.000162344,0.000171619,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,9.72E+17,0.003867024,,,,,,,,,,,,,,,,,,,,,
80K,1.134E+18,0.0323,0.004991501,20K,1.134E+18,,,,,,,,,,,,,80K,1.0605E+18,0.03447,0.004999275,0.02833,0.004437657,0.03296,0.004872856,0.03393,0.00509536,0.004851287,0.000290418,20K,1.0605E+18,0.02511,0.003883991,0.02341,0.003831424,0.003857707,2.62834E-05,80K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000242824,,,,,,0.000243202,0.000215881,0.000237052,0.000175275,0.000217852,0.000188946,0.000186389,0.000187668,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,1.296E+18,0.004827644,,,,,,,,,,,,,,,,,,,,,
90K,1.296E+18,0.0333,0.005146036,30K,1.296E+18,0.0183,0.002831502,0.02519,0.004678678,0.02363,0.004108851,0.01534,0.005695404,,,0.004827644,0.001194473,90K,1.212E+18,0.03248,0.00471066,0.02879,0.004509712,0.03264,0.004825547,0.03137,0.004710918,0.004689209,0.000131325,30K,1.212E+18,0.02929,0.004530549,0.02685,0.004394435,0.004462492,6.80569E-05,90K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000250342,0.000137745,0.000227606,0.000199885,0.000277067,0.000210576,0.000229162,0.000219386,0.000234751,0.000162051,0.000211337,0.0002204,0.000213778,0.000217089,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,1.62E+18,0.005726568,,,,,,,,,,,,,,,,,,,,,
100K,1.458E+18,0.0295,0.004558801,40K,1.458E+18,,,,,,,,,,,,,100K,1.3635E+18,0.03215,0.004662799,0.02686,0.004207393,0.02949,0.004359846,0.03155,0.004737949,0.004491997,0.000250419,40K,1.3635E+18,0.02954,0.004569219,0.0279,0.004566285,0.004567752,1.46705E-06,100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000221774,,,,,,0.000226833,0.000204679,0.000212095,0.00016298,0.000201647,0.000222281,0.000222138,0.000222209,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,1.944E+18,0.005393122,,,,,,,,,,,,,,,,,,,,,
110K,1.62E+18,0.0284,0.004388812,50K,1.62E+18,0.0194,0.003001702,0.02854,0.005300892,0.02939,0.005110416,0.01823,0.006768397,,,0.005726568,0.001550798,110K,1.515E+18,0.03049,0.004422045,0.02466,0.003862782,0.02744,0.004056771,0.02977,0.004470641,0.00420306,0.000292543,50K,1.515E+18,0.03353,0.005186388,0.03189,0.005219313,0.00520285,1.64622E-05,110K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000213504,0.000146025,0.000257875,0.000248609,0.000329265,0.000245443,0.000215121,0.000187914,0.000197352,0.000153785,0.000188543,0.000252305,0.000253906,0.000253105,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,2.268E+18,0.005004349,,,,,,,,,,,,,,,,,,,,,
120K,1.782E+18,0.0244,0.003770669,60K,1.782E+18,,,,,,,,,,,,,120K,1.6665E+18,0.02882,0.00417984,0.02105,0.003297306,0.0272,0.004021289,0.02602,0.003907494,0.003851482,0.000385963,60K,1.6665E+18,0.03512,0.005432328,0.03487,0.005707038,0.005569683,0.000137355,120K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000183433,,,,,,0.000203339,0.000160406,0.000195625,0.000134414,0.000173446,0.000264269,0.000277633,0.000270951,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,2.592E+18,0.00426477,,,,,,,,,,,,,,,,,,,,,
130K,1.944E+18,0.0224,0.003461598,70K,1.944E+18,0.0175,0.002707721,0.02902,0.005390045,0.02953,0.005134759,0.01523,0.005654563,,,0.005393122,0.001359368,130K,1.818E+18,0.02258,0.003274837,0.01597,0.002501566,0.02218,0.003279125,0.02224,0.003339841,0.003098842,0.000399289,70K,1.818E+18,0.03302,0.005107502,0.03288,0.005381342,0.005244422,0.00013692,130K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000168398,0.000131724,0.000262212,0.000249793,0.00027508,0.000229702,0.000159312,0.000121695,0.000159521,0.000114887,0.000138854,0.000248467,0.000261789,0.000255128,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,2.916E+18,0.002641139,,,,,,,,,,,,,,,,,,,,,
140K,2.106E+18,0.0123,0.001900788,80K,2.106E+18,,,,,,,,,,,,,140K,1.9695E+18,0.01658,0.002404641,0.0116,0.001817043,0.0177,0.002616795,0.01521,0.002284127,0.002280651,0.000338285,80K,1.9695E+18,0.03436,0.005314772,0.03298,0.005397709,0.00535624,4.14684E-05,140K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24685E-05,,,,,,0.00011698,8.83945E-05,0.0001273,7.85715E-05,0.000102812,0.00025855,0.000262585,0.000260567,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,3.24E+18,0.001152212,,,,,,,,,,,,,,,,,,,,,
150K,2.268E+18,0.0111,0.001715345,90K,2.268E+18,0.0129,0.001995977,0.0266,0.004940565,0.02829,0.004919144,0.01388,0.005153338,,,0.005004349,0.001507896,150K,2.121E+18,0.00991,0.001437273,0.00572,0.00089599,0.01015,0.001500591,0.0089,0.001336537,0.001292598,0.000272898,90K,2.121E+18,0.03296,0.005098221,0.03076,0.00503437,0.005066296,3.19257E-05,150K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34472E-05,9.70992E-05,0.000240346,0.000239304,0.000250697,0.000206861,6.99197E-05,4.35876E-05,7.29999E-05,4.59755E-05,5.81207E-05,0.000248015,0.000244909,0.000246462,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,3.564E+18,0.000240551,,,,,,,,,,,,,,,,,,,,,
160K,2.43E+18,0.0061,0.000942667,100K,2.43E+18,,,,,,,,,,,,,160K,2.2725E+18,0.00732,0.001061639,0.00414,0.000648496,0.00588,0.000869308,0.00691,0.001037693,0.000904284,0.000190796,100K,2.2725E+18,0.03178,0.0049157,0.02987,0.004888707,0.004902203,1.34964E-05,160K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58584E-05,,,,,,5.1646E-05,3.15477E-05,4.22896E-05,3.56956E-05,4.02947E-05,0.000239136,0.000237823,0.00023848,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,,3.888E+18,0.00071322,,,,,,,,,,,,,,,,,,,,,
